chrom	start	end	summit	qval	signal
chr6	113858841	113858942	113858891	4.35982	90.40191
chr16	527382	527483	527432	4.35982	90.32831
chr19	36054346	36054447	36054396	4.35982	89.74778
chr14	103099257	103099358	103099307	4.35982	89.21576
chr14	32201181	32201282	32201231	4.35982	89.12217
chr3	184174658	184174759	184174708	4.35982	88.77398
chr16	67660259	67660360	67660309	4.35982	88.52557
chr16	30775384	30775485	30775434	4.35982	88.47695
chr14	70359722	70359823	70359772	4.35982	88.47248
chr20	267047	267148	267097	4.35982	88.38485
chr14	102305146	102305247	102305196	4.35982	88.34806
chr14	24431883	24431984	24431933	4.35982	87.98455
chr17	40342011	40342112	40342061	4.35982	87.87583
chr20	63956568	63956669	63956618	4.35982	87.23267
chr7	92528560	92528661	92528610	4.35982	87.11404
chr2	201233311	201233412	201233361	4.35982	87.02232
chr19	49085107	49085208	49085157	4.35982	86.31991
chr9	94259181	94259282	94259231	4.35982	86.30952
chr22	31212130	31212231	31212180	4.35982	86.00874
chr6	1312005	1312106	1312055	4.35982	85.92909
chr16	2721111	2721212	2721161	4.35982	85.88317
chr5	180809805	180809906	180809855	4.35982	85.79401
chr5	116574865	116574966	116574915	4.35982	85.72321
chr10	97498446	97498547	97498496	4.35982	85.4042
chr1	174022360	174022461	174022410	4.35982	84.98411
chr11	6619438	6619539	6619488	4.35982	84.9115
chr16	81076695	81076796	81076745	4.35982	84.71569
chr2	38603526	38603627	38603576	4.35982	84.26583
chr4	2536431	2536532	2536481	4.35982	84.25657
chr5	79991216	79991317	79991266	4.35982	83.60632
chr13	113153947	113154048	113153997	4.35982	83.5456
chr6	81752732	81752833	81752782	4.35982	83.28033
chr2	85418670	85418771	85418720	4.35982	83.01407
chr16	9091588	9091689	9091638	4.35982	82.70596
chr2	241541322	241541423	241541372	4.35982	82.67047
chr1	1909096	1909197	1909146	4.35982	82.33378
chr19	11384310	11384411	11384360	4.35982	82.26833
chr19	704279	704380	704329	4.35982	82.23895
chr14	23301727	23301828	23301777	4.35982	82.03861
chr15	44536988	44537089	44537038	4.35982	82.02962
chr19	44770741	44770842	44770791	4.35982	81.92753
chr10	101060987	101061088	101061037	4.35982	81.89437
chr17	28903109	28903210	28903159	4.35982	81.80765
chr19	12806461	12806562	12806511	4.35982	80.9126
chr17	75896951	75897052	75897001	4.35982	80.83238
chr14	77320948	77321049	77320998	4.35982	80.71804
chr2	241315794	241315895	241315844	4.35982	80.33843
chr9	131502914	131503015	131502964	4.35982	80.13164
chr6	157021465	157021566	157021515	4.35982	79.74109
chr2	232697145	232697246	232697195	4.35982	79.67756
chr4	39182358	39182459	39182408	4.35982	79.35173
chr16	85306305	85306406	85306355	4.35982	79.03832
chr5	180886043	180886144	180886093	4.35982	78.84269
chr2	127700709	127700810	127700759	4.35982	78.6978
chr7	152464471	152464572	152464521	4.35982	78.65442
chr20	53081459	53081560	53081509	4.35982	78.61157
chr20	32109408	32109509	32109458	4.35982	78.45846
chr17	38718719	38718820	38718769	4.35982	78.41457
chr5	173144438	173144539	173144488	4.35982	78.34429
chr16	4271892	4271993	4271942	4.35982	77.98108
chr19	35903812	35903913	35903862	4.35982	77.67821
chr2	240579895	240579996	240579945	4.35982	77.58488
chr5	10441814	10441915	10441864	4.35982	77.53811
chr17	43528538	43528639	43528588	4.35982	77.51658
chr6	43427513	43427614	43427563	4.35982	77.24868
chr22	49960684	49960785	49960734	4.35982	77.08156
chr3	184248910	184249011	184248960	4.35982	76.91128
chr14	100145247	100145348	100145297	4.35982	76.87783
chr19	14288917	14289018	14288967	4.35982	76.73327
chr12	98645077	98645178	98645127	4.35982	76.64817
chr13	51583832	51583933	51583882	4.35982	76.4019
chr14	35336642	35336743	35336692	4.35982	76.17713
chr11	66868812	66868913	66868862	4.35982	76.11446
chr3	47781883	47781984	47781933	4.35982	76.00644
chr15	98865445	98865546	98865495	4.35982	75.96671
chr19	55599132	55599233	55599182	4.35982	75.3307
chr20	64057921	64058022	64057971	4.35982	75.22216
chr20	46562589	46562690	46562639	4.35982	75.20606
chr1	42958919	42959020	42958969	4.35982	75.09695
chr19	10251929	10252030	10251979	4.35982	75.06646
chr14	32201818	32201919	32201868	4.35982	74.69122
chr9	137430319	137430420	137430369	4.35982	74.68757
chr2	95121805	95121906	95121855	4.35982	74.61737
chr9	76394476	76394577	76394526	4.35982	74.61526
chr7	102748871	102748972	102748921	4.35982	74.48189
chr11	66267659	66267760	66267709	4.35982	74.46351
chr1	53238618	53238719	53238668	4.35982	74.39296
chr9	136790806	136790907	136790856	4.35982	74.38901
chr7	99693510	99693611	99693560	4.35982	74.32728
chr2	27429102	27429203	27429152	4.35982	74.2351
chr17	44345043	44345144	44345093	4.35982	74.21365
chr15	76336666	76336767	76336716	4.35982	74.19898
chr14	24429859	24429960	24429909	4.35982	74.15261
chr2	208254399	208254500	208254449	4.35982	73.9793
chr3	196739822	196739923	196739872	4.35982	73.85443
chr19	46016938	46017039	46016988	4.35982	73.44041
chr10	122980613	122980714	122980663	4.35982	73.34883
chr16	67660852	67660953	67660902	4.35982	73.31875
chr20	34825726	34825827	34825776	4.35982	73.19704
chr16	67719345	67719446	67719395	4.35982	73.16543
chr2	73234243	73234344	73234293	4.35982	73.1085
chr3	50298878	50298979	50298928	4.35982	72.98832
chr10	27504172	27504273	27504222	4.35982	72.95473
chr1	36401141	36401242	36401191	4.35982	72.92457
chr19	16829041	16829142	16829091	4.35982	72.90465
chr6	28865866	28865967	28865916	4.35982	72.89709
chr10	32944267	32944368	32944317	4.35982	72.86294
chr1	45686552	45686653	45686602	4.35982	72.85353
chr10	62268815	62268916	62268865	4.35982	72.60474
chr17	77374501	77374602	77374551	4.35982	72.50939
chr22	38463485	38463586	38463535	4.35982	72.37615
chr10	78033728	78033829	78033778	4.35982	72.31057
chr12	2004560	2004661	2004610	4.35982	72.2309
chr14	34693241	34693342	34693291	4.35982	72.13119
chr19	16660298	16660399	16660348	4.35982	71.91517
chr19	14006316	14006417	14006366	4.35982	71.74103
chr5	139198459	139198560	139198509	4.35982	71.73425
chr14	24095607	24095708	24095657	4.35982	71.6421
chr8	143278729	143278830	143278779	4.35982	71.59584
chr6	26156324	26156425	26156374	4.35982	71.55224
chr17	77451436	77451537	77451486	4.35982	71.46757
chr1	33431089	33431190	33431139	4.35982	71.21517
chr2	197451090	197451191	197451140	4.35982	71.00181
chr10	100346489	100346590	100346539	4.35982	70.94018
chr2	43018412	43018513	43018462	4.35982	70.7782
chr2	26764182	26764283	26764232	4.35982	70.64614
chr2	48314477	48314578	48314527	4.35982	70.5773
chr20	49983010	49983111	49983060	4.35982	70.44104
chr16	29926180	29926281	29926230	4.35982	70.2919
chr15	64825717	64825818	64825767	4.35982	70.23937
chr4	76949630	76949731	76949680	4.35982	70.20803
chr16	84116953	84117054	84117003	4.35982	70.07476
chr19	16471989	16472090	16472039	4.35982	69.8837
chr16	23452716	23452817	23452766	4.35982	69.7575
chr13	46052757	46052858	46052807	4.35982	69.63383
chr17	43398872	43398973	43398922	4.35982	69.58951
chr7	75643011	75643112	75643061	4.35982	69.55524
chr6	36547503	36547604	36547553	4.35982	69.55076
chr3	150408170	150408271	150408220	4.35982	69.50593
chr19	40798174	40798275	40798224	4.35982	69.40649
chr6	30061144	30061245	30061194	4.35982	69.3021
chr3	184186034	184186135	184186084	4.35982	69.2874
chr2	240514005	240514106	240514055	4.35982	69.18693
chr9	15422683	15422784	15422733	4.35982	69.02877
chr11	63838801	63838902	63838851	4.35982	69.01914
chr2	10285795	10285896	10285845	4.35982	68.98358
chr13	94119368	94119469	94119418	4.35982	68.9132
chr16	25066789	25066890	25066839	4.35982	68.76104
chr16	88651034	88651135	88651084	4.35982	68.71317
chr19	6373372	6373473	6373422	4.35982	68.6839
chr14	101964361	101964462	101964411	4.35982	68.39045
chr10	119080844	119080945	119080894	4.35982	68.37996
chr16	29863535	29863636	29863585	4.35982	68.30939
chr20	47357786	47357887	47357836	4.35982	68.25582
chr2	218659572	218659673	218659622	4.35982	68.25127
chr8	144103774	144103875	144103824	4.35982	68.20052
chr17	32067051	32067152	32067101	4.35982	68.19657
chr2	11357468	11357569	11357518	4.35982	67.99786
chr3	50303599	50303700	50303649	4.35982	67.93228
chr14	21103704	21103805	21103754	4.35982	67.82928
chr9	137441377	137441478	137441427	4.35982	67.82645
chr16	50548148	50548249	50548198	4.35982	67.67036
chr14	24442285	24442386	24442335	4.35982	67.65859
chr16	31459850	31459951	31459900	4.35982	67.59975
chr19	1245082	1245183	1245132	4.35982	67.4774
chr7	44606501	44606602	44606551	4.35982	67.45346
chr16	5097671	5097772	5097721	4.35982	67.42846
chr7	75093008	75093109	75093058	4.35982	67.35305
chr20	54207787	54207888	54207837	4.35982	67.25436
chrX	15675647	15675748	15675697	4.35982	67.21359
chr8	23246551	23246652	23246601	4.35982	67.19111
chr2	233236111	233236212	233236161	4.35982	67.18699
chr2	172103986	172104087	172104036	4.35982	67.13316
chr8	143597140	143597241	143597190	4.35982	67.13183
chr1	182839265	182839366	182839315	4.35982	67.03612
chr17	1467975	1468076	1468025	4.35982	67.03063
chr2	207820102	207820203	207820152	4.35982	67.00061
chr1	114758045	114758146	114758095	4.35982	66.90682
chr16	30897132	30897233	30897182	4.35982	66.81069
chr14	22977769	22977870	22977819	4.35982	66.80515
chr2	86440826	86440927	86440876	4.35982	66.75266
chr19	41439930	41440031	41439980	4.35982	66.57393
chr16	1493193	1493294	1493243	4.35982	66.57217
chr1	156372039	156372140	156372089	4.35982	66.56376
chr19	54463742	54463843	54463792	4.35982	66.48251
chr12	65741459	65741560	65741509	4.35982	66.38937
chr17	43388340	43388441	43388390	4.35982	66.37403
chr5	139503153	139503254	139503203	4.35982	66.36013
chr19	47035902	47036003	47035952	4.35982	66.30594
chr14	103629085	103629186	103629135	4.35982	66.23182
chr20	63738152	63738253	63738202	4.35982	66.09568
chr7	75993757	75993858	75993807	4.35982	66.06315
chr19	47515123	47515224	47515173	4.35982	65.95491
chr14	22982842	22982943	22982892	4.35982	65.89887
chr1	7784081	7784182	7784131	4.35982	65.73215
chr3	47164133	47164234	47164183	4.35982	65.7219
chr2	61538725	61538826	61538775	4.35982	65.62155
chr16	29806753	29806854	29806803	4.35982	65.61265
chr20	50190511	50190612	50190561	4.35982	65.59336
chr2	27891228	27891329	27891278	4.35982	65.56664
chr22	42857223	42857324	42857273	4.35982	65.5222
chr11	68839294	68839395	68839344	4.35982	65.32473
chr19	34481604	34481705	34481654	4.35982	65.17242
chr1	35031922	35032023	35031972	4.35982	65.12374
chr2	218406322	218406423	218406372	4.35982	65.08019
chr20	4687138	4687239	4687188	4.35982	65.06448
chr19	1415523	1415624	1415573	4.35982	64.92925
chr19	5680931	5681032	5680981	4.35982	64.90838
chr17	81918096	81918197	81918146	4.35982	64.88655
chr19	15125145	15125246	15125195	4.35982	64.7553
chr17	3893346	3893447	3893396	4.35982	64.53444
chr5	140043288	140043389	140043338	4.35982	64.42009
chr13	110712419	110712520	110712469	4.35982	64.40289
chr19	48714087	48714188	48714137	4.35982	64.30311
chr6	41519408	41519509	41519458	4.35982	64.24423
chr9	91197341	91197442	91197391	4.35982	64.21921
chr17	45172632	45172733	45172682	4.35982	64.14443
chr16	31458178	31458279	31458228	4.35982	63.99696
chr1	36369161	36369262	36369211	4.35982	63.88419
chr20	35327168	35327269	35327218	4.35982	63.85601
chr8	18210016	18210117	18210066	4.35982	63.85057
chr14	88385603	88385704	88385653	4.35982	63.82076
chr22	37677288	37677389	37677338	4.35982	63.80584
chr17	50909415	50909516	50909465	4.35982	63.74943
chr8	41701829	41701930	41701879	4.35982	63.73689
chr21	42893092	42893193	42893142	4.35982	63.719
chr5	176647151	176647252	176647201	4.35982	63.71801
chr5	179819100	179819201	179819150	4.35982	63.54889
chr14	24094195	24094296	24094245	4.35982	63.53294
chr19	480332	480433	480382	4.35982	63.52713
chr17	80220394	80220495	80220444	4.35982	63.45834
chr6	32153941	32154042	32153991	4.35982	63.44929
chr5	180090571	180090672	180090621	4.35982	63.3725
chr17	76027469	76027570	76027519	4.35982	63.22363
chr17	49788552	49788653	49788602	4.35982	63.21125
chr19	55117662	55117763	55117712	4.35982	63.19814
chr1	220690254	220690355	220690304	4.35982	63.17818
chr16	89921809	89921910	89921859	4.35982	63.15425
chr9	104928258	104928359	104928308	4.35982	63.08858
chr22	39242849	39242950	39242899	4.35982	63.06261
chr20	46667099	46667200	46667149	4.35982	62.97734
chr9	35812257	35812358	35812307	4.35982	62.86744
chr15	92918019	92918120	92918069	4.35982	62.7827
chr1	42456439	42456540	42456489	4.35982	62.77191
chr10	119725723	119725824	119725773	4.35982	62.77016
chr11	77589830	77589931	77589880	4.35982	62.76245
chr11	124673735	124673836	124673785	4.35982	62.75197
chr2	70086755	70086856	70086805	4.35982	62.72428
chr1	960501	960602	960551	4.35982	62.68406
chr10	119178727	119178828	119178777	4.35982	62.67226
chr19	17215567	17215668	17215617	4.35982	62.6421
chr13	21140460	21140561	21140510	4.35982	62.63538
chr2	72917438	72917539	72917488	4.35982	62.60704
chr2	74457642	74457743	74457692	4.35982	62.56965
chr1	200670065	200670166	200670115	4.35982	62.48482
chr1	9129598	9129699	9129648	4.35982	62.20259
chr20	36863791	36863892	36863841	4.35982	62.18213
chr14	105090621	105090722	105090671	4.35982	62.17972
chr6	125956676	125956777	125956726	4.35982	62.14517
chr1	26693099	26693200	26693149	4.35982	62.12733
chr7	26201491	26201592	26201541	4.35982	62.10885
chr6	27831534	27831635	27831584	4.35982	62.08912
chr8	128556808	128556909	128556858	4.35982	62.07161
chr1	6625076	6625177	6625126	4.35982	62.05248
chr3	129161026	129161127	129161076	4.35982	61.9721
chr14	24108965	24109066	24109015	4.35982	61.91309
chr19	55476931	55477032	55476981	4.35982	61.73884
chr3	52289849	52289950	52289899	4.35982	61.68969
chr19	8424079	8424180	8424129	4.35982	61.66676
chr11	1299263	1299364	1299313	4.35982	61.66034
chr2	121530874	121530975	121530924	4.35982	61.61542
chr21	38831667	38831768	38831717	4.35982	61.55788
chr6	7426797	7426898	7426847	4.35982	61.55094
chr17	68035356	68035457	68035406	4.35982	61.53575
chr2	96266029	96266130	96266079	4.35982	61.48222
chr16	85420904	85421005	85420954	4.35982	61.44945
chr14	105301393	105301494	105301443	4.35982	61.42528
chr15	41494336	41494437	41494386	4.35982	61.41808
chr4	86934821	86934922	86934871	4.35982	61.26729
chr16	27470827	27470928	27470877	4.35982	61.22954
chr12	120317617	120317718	120317667	4.35982	61.21891
chr9	34380725	34380826	34380775	4.35982	61.17315
chr20	35329676	35329777	35329726	4.35982	61.16266
chr1	153545159	153545260	153545209	4.35982	61.1607
chr22	30667868	30667969	30667918	4.35982	61.11523
chr8	11704052	11704153	11704102	4.35982	61.11004
chr4	2441847	2441948	2441897	4.35982	60.97821
chr6	32087733	32087834	32087783	4.35982	60.96034
chr6	4018709	4018810	4018759	4.35982	60.89754
chr6	125986320	125986421	125986370	4.35982	60.87184
chr17	75034489	75034590	75034539	4.35982	60.84092
chr19	34254485	34254586	34254535	4.35982	60.83994
chr7	33062816	33062917	33062866	4.35982	60.83817
chr22	35552607	35552708	35552657	4.35982	60.71565
chr15	64841443	64841544	64841493	4.35982	60.68593
chr19	1275790	1275891	1275840	4.35982	60.6698
chr16	88748040	88748141	88748090	4.35982	60.65575
chr17	34980405	34980506	34980455	4.35982	60.61955
chr10	50623964	50624065	50624014	4.35982	60.58821
chr1	55053743	55053844	55053793	4.35982	60.5863
chr19	55600125	55600226	55600175	4.35982	60.46794
chr1	229508315	229508416	229508365	4.35982	60.45676
chr17	75025248	75025349	75025298	4.35982	60.41093
chr11	61362093	61362194	61362143	4.35982	60.3114
chr6	5260971	5261072	5261021	4.35982	60.27919
chr4	678100	678201	678150	4.35982	60.25643
chr6	41073776	41073877	41073826	4.35982	60.2479
chr17	75845310	75845411	75845360	4.35982	60.24171
chr17	42980469	42980570	42980519	4.35982	60.22263
chr6	12011310	12011411	12011360	4.35982	60.17117
chr8	143573145	143573246	143573195	4.35982	60.16798
chr1	185045208	185045309	185045258	4.35982	60.11905
chr19	49878017	49878118	49878067	4.35982	60.11652
chr20	31722884	31722985	31722934	4.35982	60.09184
chr15	72636902	72637003	72636952	4.35982	60.07747
chr17	43388566	43388667	43388616	4.35982	60.06206
chr19	45443455	45443556	45443505	4.35982	60.02946
chr19	45467820	45467921	45467870	4.35982	59.86779
chr19	3284924	3285025	3284974	4.35982	59.83644
chr20	58309407	58309508	58309457	4.35982	59.77046
chr8	133297275	133297376	133297325	4.35982	59.76456
chr5	138465366	138465467	138465416	4.35982	59.70739
chr12	121210042	121210143	121210092	4.35982	59.70194
chr14	103880042	103880143	103880092	4.35982	59.61127
chr12	49337177	49337278	49337227	4.35982	59.56769
chr16	70428541	70428642	70428591	4.35982	59.51647
chr10	103918470	103918571	103918520	4.35982	59.4184
chr15	50765407	50765508	50765457	4.35982	59.21682
chr14	31966259	31966360	31966309	4.35982	59.19694
chr9	69035683	69035784	69035733	4.35982	59.16406
chr12	120228421	120228522	120228471	4.35982	59.14654
chr14	67695725	67695826	67695775	4.35982	59.10715
chr6	44265620	44265721	44265670	4.35982	59.08701
chr2	131682619	131682720	131682669	4.35982	59.0654
chr11	64924137	64924238	64924187	4.35982	59.0531
chr11	66466679	66466780	66466729	4.35982	59.03442
chr6	158560006	158560107	158560056	4.35982	59.02763
chr16	66977799	66977900	66977849	4.35982	59.0208
chr19	55207228	55207329	55207278	4.35982	58.96055
chr20	30377041	30377142	30377091	4.35982	58.88289
chr14	34875246	34875347	34875296	4.35982	58.88142
chr5	81971969	81972070	81972019	4.35982	58.85577
chr20	31572841	31572942	31572891	4.35982	58.8382
chr19	7871552	7871653	7871602	4.35982	58.82151
chr3	50171770	50171871	50171820	4.35982	58.80242
chr22	40856582	40856683	40856632	4.35982	58.79674
chr16	22297846	22297947	22297896	4.35982	58.79074
chr22	42800969	42801070	42801019	4.35982	58.78256
chr6	105992549	105992650	105992599	4.35982	58.77605
chr14	37466747	37466848	37466797	4.35982	58.73692
chr1	40373573	40373674	40373623	4.35982	58.60634
chr1	2195066	2195167	2195116	4.35982	58.54992
chr20	17859151	17859252	17859201	4.35982	58.49713
chr20	41135355	41135456	41135405	4.35982	58.416
chr22	41414583	41414684	41414633	4.35982	58.37546
chr2	47176509	47176610	47176559	4.35982	58.35392
chr16	2513648	2513749	2513698	4.35982	58.34544
chr17	58692475	58692576	58692525	4.35982	58.31358
chr12	30754993	30755094	30755043	4.35982	58.26883
chr19	3869056	3869157	3869106	4.35982	58.22061
chr18	74598496	74598597	74598546	4.35982	58.2049
chr6	109691182	109691283	109691232	4.35982	58.18569
chr16	75432999	75433100	75433049	4.35982	58.16583
chr11	65382299	65382400	65382349	4.35982	58.09194
chr19	55587419	55587520	55587469	4.35982	58.05442
chr16	11612527	11612628	11612577	4.35982	58.04468
chr17	2303829	2303930	2303879	4.35982	57.9564
chr4	3073918	3074019	3073968	4.35982	57.87406
chr17	38558274	38558375	38558324	4.35982	57.86881
chr6	24774880	24774981	24774930	4.35982	57.76553
chr14	35122484	35122585	35122534	4.35982	57.75491
chr20	1423933	1424034	1423983	4.35982	57.72283
chr11	2805504	2805605	2805554	4.35982	57.66241
chr5	96187900	96188001	96187950	4.35982	57.66097
chr18	658314	658415	658364	4.35982	57.63916
chr8	140457767	140457868	140457817	4.35982	57.63872
chr1	25895492	25895593	25895542	4.35982	57.61059
chr6	53064763	53064864	53064813	4.35982	57.55281
chr2	218230988	218231089	218231038	4.35982	57.54145
chr17	79991740	79991841	79991790	4.35982	57.465
chr22	36028770	36028871	36028820	4.35982	57.45999
chr9	127224392	127224493	127224442	4.35982	57.42932
chr8	143989892	143989993	143989942	4.35982	57.39251
chr1	100895975	100896076	100896025	4.35982	57.23587
chr11	65884776	65884877	65884826	4.35982	57.22891
chr17	39927630	39927731	39927680	4.35982	57.21026
chr17	50547067	50547168	50547117	4.35982	57.19893
chr20	50478386	50478487	50478436	4.35982	57.14369
chr2	191245170	191245271	191245220	4.35982	57.12897
chr1	22642114	22642215	22642164	4.35982	57.06696
chr20	53594163	53594264	53594213	4.35982	57.04016
chr7	22500194	22500295	22500244	4.35982	56.98389
chr3	130111432	130111533	130111482	4.35982	56.94946
chr2	72916215	72916316	72916265	4.35982	56.8972
chr11	63917137	63917238	63917187	4.35982	56.8913
chr17	80035970	80036071	80036020	4.35982	56.87849
chr12	54379773	54379874	54379823	4.35982	56.83777
chr2	241881899	241882000	241881949	4.35982	56.79099
chr15	38454049	38454150	38454099	4.35982	56.7809
chr10	119104074	119104175	119104124	4.35982	56.75832
chr20	44651787	44651888	44651837	4.35982	56.75454
chrX	18984705	18984806	18984755	4.35982	56.71745
chr20	25585542	25585643	25585592	4.35982	56.71161
chr17	8187703	8187804	8187753	4.35982	56.63872
chr9	137277733	137277834	137277783	4.35982	56.6314
chr14	23035125	23035226	23035175	4.35982	56.59859
chr22	19962418	19962519	19962468	4.35982	56.55125
chr4	56907744	56907845	56907794	4.35982	56.52846
chr3	52410515	52410616	52410565	4.35982	56.49224
chr17	79777714	79777815	79777764	4.35982	56.48927
chr1	42740340	42740441	42740390	4.35982	56.45236
chr20	46041018	46041119	46041068	4.35982	56.44049
chr20	64036109	64036210	64036159	4.35982	56.40599
chr6	33317280	33317381	33317330	4.35982	56.36298
chr16	85563649	85563750	85563699	4.35982	56.28128
chr20	36436362	36436463	36436412	4.35982	56.24661
chr4	84582778	84582879	84582828	4.35982	56.23885
chr1	1019375	1019476	1019425	4.35982	56.22792
chr16	87394547	87394648	87394597	4.35982	56.18139
chr17	42322889	42322990	42322939	4.35982	56.16648
chr18	596714	596815	596764	4.35982	56.16304
chr16	30092629	30092730	30092679	4.35982	56.1613
chr5	69189734	69189835	69189784	4.35982	56.15391
chr3	47380964	47381065	47381014	4.35982	56.05551
chr19	12825689	12825790	12825739	4.35982	55.92895
chr16	8850448	8850549	8850498	4.35982	55.90649
chr20	11892374	11892475	11892424	4.35982	55.86898
chr22	49970864	49970965	49970914	4.35982	55.80671
chr2	241734425	241734526	241734475	4.35982	55.77998
chr6	30942828	30942929	30942878	4.35982	55.76455
chr6	24504429	24504530	24504479	4.35982	55.74699
chr12	10613560	10613661	10613610	4.35982	55.73636
chr16	47493068	47493169	47493118	4.35982	55.70175
chr15	38251915	38252016	38251965	4.35982	55.64707
chr16	47928154	47928255	47928204	4.35982	55.61752
chr3	50264670	50264771	50264720	4.35982	55.53238
chr17	1736426	1736527	1736476	4.35982	55.48082
chr21	42879537	42879638	42879587	4.35982	55.44401
chr2	113437662	113437763	113437712	4.35982	55.41896
chr3	49022039	49022140	49022089	4.35982	55.35762
chr17	30344896	30344997	30344946	4.35982	55.34166
chr6	31863703	31863804	31863753	4.35982	55.33454
chr1	9250131	9250232	9250181	4.35982	55.28301
chr12	56688232	56688333	56688282	4.35982	55.27227
chr12	8242895	8242996	8242945	4.35982	55.22193
chr19	9819468	9819569	9819518	4.35982	55.19414
chr6	28982154	28982255	28982204	4.35982	55.18425
chr14	23069010	23069111	23069060	4.35982	55.18058
chr12	53220865	53220966	53220915	4.35982	55.13847
