chrom	start	end	summit	qval	signal
chr16	87951100	87951201	87951150	4.08225	173.77225
chr19	703823	703924	703873	4.08225	172.73236
chr22	49960571	49960672	49960621	4.08225	172.42681
chr16	67846593	67846694	67846643	4.08225	171.19521
chr16	31459587	31459688	31459637	4.08225	170.52253
chr7	76359264	76359365	76359314	4.08225	170.26042
chr19	49128198	49128299	49128248	4.08225	169.3389
chr14	24195505	24195606	24195555	4.08225	169.27448
chr17	19648665	19648766	19648715	4.08225	168.69421
chr16	15154804	15154905	15154854	4.08225	165.54919
chr7	100673659	100673760	100673709	4.08225	165.38663
chr20	35092838	35092939	35092888	4.08225	165.27682
chr4	17577066	17577167	17577116	4.08225	164.15656
chr17	19362856	19362957	19362906	4.08225	163.55931
chr6	36547344	36547445	36547394	4.08225	163.05093
chr14	24442457	24442558	24442507	4.08225	161.36393
chr19	1275682	1275783	1275732	4.08225	160.32958
chr2	85538988	85539089	85539038	4.08225	159.42789
chr13	27621840	27621941	27621890	4.08225	158.46172
chr4	184649573	184649674	184649623	4.08225	158.44905
chr6	1311903	1312004	1311953	4.08225	157.97108
chr6	42939622	42939723	42939672	4.08225	157.88649
chr2	96335817	96335918	96335867	4.08225	157.51506
chr11	809684	809785	809734	4.08225	157.41697
chr2	24047338	24047439	24047388	4.08225	157.13342
chr17	38730135	38730236	38730185	4.08225	156.85029
chr8	37762636	37762737	37762686	4.08225	156.33291
chr1	65420291	65420392	65420341	4.08225	156.17511
chr2	207625254	207625355	207625304	4.08225	155.90841
chr5	172188391	172188492	172188441	4.08225	155.55889
chr16	89972730	89972831	89972780	4.08225	154.74101
chr19	9819167	9819268	9819217	4.08225	154.73569
chr20	49219397	49219498	49219447	4.08225	154.58945
chr10	100912959	100913060	100913009	4.08225	153.88454
chr2	217903000	217903101	217903050	4.08225	152.86923
chr16	2215158	2215259	2215208	4.08225	152.28233
chr6	31902366	31902467	31902416	4.08225	152.04059
chr2	99490242	99490343	99490292	4.08225	151.89452
chr2	127293940	127294041	127293990	4.08225	151.63023
chr8	140464620	140464721	140464670	4.08225	151.50403
chr16	75245322	75245423	75245372	4.08225	151.42442
chr20	266887	266988	266937	4.08225	151.22901
chr14	39763096	39763197	39763146	4.08225	151.20346
chr2	69437243	69437344	69437293	4.08225	150.97957
chr2	95121922	95122023	95121972	4.08225	150.89993
chr1	182839441	182839542	182839491	4.08225	150.81468
chr11	3422955	3423056	3423005	4.08225	150.50783
chr1	24643114	24643215	24643164	4.08225	150.29696
chr20	3820313	3820414	3820363	4.08225	149.9971
chr20	32109654	32109755	32109704	4.08225	149.92527
chr3	100260842	100260943	100260892	4.08225	149.51237
chr20	348022	348123	348072	4.08225	149.50538
chr20	17570248	17570349	17570298	4.08225	149.45179
chr20	34824863	34824964	34824913	4.08225	149.19187
chr20	50112992	50113093	50113042	4.08225	148.80494
chr5	134904735	134904836	134904785	4.08225	148.63732
chr14	24213310	24213411	24213360	4.08225	148.57295
chr16	4937240	4937341	4937290	4.08225	148.19094
chr14	35809196	35809297	35809246	4.08225	148.18977
chr19	5720310	5720411	5720360	4.08225	148.1796
chr13	48037816	48037917	48037866	4.08225	147.62235
chr14	34982711	34982812	34982761	4.08225	147.59566
chr20	35616655	35616756	35616705	4.08225	147.27166
chr16	67184053	67184154	67184103	4.08225	147.26748
chr12	6904794	6904895	6904844	4.08225	147.24341
chr20	25624135	25624236	25624185	4.08225	147.13962
chr7	150383802	150383903	150383852	4.08225	147.01042
chr2	46915984	46916085	46916034	4.08225	146.92459
chr9	14322624	14322725	14322674	4.08225	146.86401
chr3	149129612	149129713	149129662	4.08225	145.99801
chr19	39412276	39412377	39412326	4.08225	145.71723
chr1	179026145	179026246	179026195	4.08225	145.41545
chr6	30647566	30647667	30647616	4.08225	145.38913
chr2	162344257	162344358	162344307	4.08225	144.74562
chr9	35161852	35161953	35161902	4.08225	144.72294
chr20	33732224	33732325	33732274	4.08225	144.71872
chr7	101154413	101154514	101154463	4.08225	144.51059
chr19	43668780	43668881	43668830	4.08225	144.48777
chr6	116100856	116100957	116100906	4.08225	144.3598
chr19	17226436	17226537	17226486	4.08225	144.25666
chr4	83284623	83284724	83284673	4.08225	143.43105
chr19	43463531	43463632	43463581	4.08225	143.37498
chr17	69326987	69327088	69327037	4.08225	143.25175
chr19	7871812	7871913	7871862	4.08225	143.2333
chr20	25195826	25195927	25195876	4.08225	142.91004
chr3	113019517	113019618	113019567	4.08225	142.42178
chr4	75514396	75514497	75514446	4.08225	142.20204
chr1	45303857	45303958	45303907	4.08225	142.1153
chr11	63986571	63986672	63986621	4.08225	141.9421
chr6	134175080	134175181	134175130	4.08225	141.86836
chr6	11324274	11324375	11324324	4.08225	141.70636
chr16	23452834	23452935	23452884	4.08225	141.33099
chr8	144372990	144373091	144373040	4.08225	140.77458
chr6	13814135	13814236	13814185	4.08225	140.71059
chr6	63572267	63572368	63572317	4.08225	140.3353
chr2	189674568	189674669	189674618	4.08225	140.30083
chr5	139198339	139198440	139198389	4.08225	140.25748
chr16	29805638	29805739	29805688	4.08225	139.94952
chr1	157138546	157138647	157138596	4.08225	139.94604
chr6	5261086	5261187	5261136	4.08225	139.74637
chr10	101061119	101061220	101061169	4.08225	139.05641
chr20	11891187	11891288	11891237	4.08225	138.821
chr13	49936481	49936582	49936531	4.08225	138.81334
chr6	39114928	39115029	39114978	4.08225	138.48088
chr6	159762182	159762283	159762232	4.08225	138.43379
chr2	86195149	86195250	86195199	4.08225	138.15211
chr10	14954232	14954333	14954282	4.08225	138.1099
chr7	30284579	30284680	30284629	4.08225	138.0233
chr14	22903221	22903322	22903271	4.08225	137.86906
chr1	154936535	154936636	154936585	4.08225	137.81165
chr1	111755656	111755757	111755706	4.08225	137.80603
chr11	64241337	64241438	64241387	4.08225	137.74076
chr11	61967554	61967655	61967604	4.08225	137.57703
chr14	63641759	63641860	63641809	4.08225	137.3389
chr20	32465657	32465758	32465707	4.08225	137.28496
chr16	29926315	29926416	29926365	4.08225	136.88603
chr16	89217436	89217537	89217486	4.08225	136.38571
chr2	112584528	112584629	112584578	4.08225	136.38154
chr16	30922487	30922588	30922537	4.08225	136.35123
chr3	184174765	184174866	184174815	4.08225	136.00476
chrX	154516233	154516334	154516283	4.08225	135.99006
chr3	49469968	49470069	49470018	4.08225	135.7243
chr19	54464305	54464406	54464355	4.08225	135.40163
chr14	105490953	105491054	105491003	4.08225	134.79334
chr2	203014891	203014992	203014941	4.08225	134.77818
chr1	147599963	147600064	147600013	4.08225	134.39269
chr16	89822552	89822653	89822602	4.08225	133.93906
chr1	193105320	193105421	193105370	4.08225	133.92262
chr3	81761430	81761531	81761480	4.08225	133.85555
chr20	5119621	5119722	5119671	4.08225	133.76644
chr16	13270140	13270241	13270190	4.08225	133.37124
chr10	78033876	78033977	78033926	4.08225	133.29625
chr15	101724301	101724402	101724351	4.08225	133.28702
chr12	106774112	106774213	106774162	4.08225	133.16867
chr20	408144	408245	408194	4.08225	132.84205
chr20	35411833	35411934	35411883	4.08225	132.71172
chr16	66406732	66406833	66406782	4.08225	132.69251
chr6	146543613	146543714	146543663	4.08225	132.43591
chr3	25790061	25790162	25790111	4.08225	132.2246
chr20	50165953	50166054	50166003	4.08225	132.15061
chr13	51803919	51804020	51803969	4.08225	132.00443
chr16	14405985	14406086	14406035	4.08225	131.82434
chr6	52995549	52995650	52995599	4.08225	131.78789
chr6	149717997	149718098	149718047	4.08225	131.7836
chr3	47782017	47782118	47782067	4.08225	131.52114
chr17	39737995	39738096	39738045	4.08225	131.50863
chr1	248906403	248906504	248906453	4.08225	131.41189
chr14	104736389	104736490	104736439	4.08225	131.37746
chr6	113858971	113859072	113859021	4.08225	131.26824
chr8	23246756	23246857	23246806	4.08225	131.15489
chr17	43398991	43399092	43399041	4.08225	131.1028
chr17	44070903	44071004	44070953	4.08225	131.03818
chr1	46247251	46247352	46247301	4.08225	131.01636
chr19	11375019	11375120	11375069	4.08225	130.92057
chr17	75131688	75131789	75131738	4.08225	130.9168
chr1	19312227	19312328	19312277	4.08225	130.66158
chr20	38926411	38926512	38926461	4.08225	130.56341
chr19	1812710	1812811	1812760	4.08225	130.20034
chr16	22297472	22297573	22297522	4.08225	130.18405
chr19	47600623	47600724	47600673	4.08225	129.75624
chr3	190513902	190514003	190513952	4.08225	129.59817
chr2	32063471	32063572	32063521	4.08225	129.54596
chr16	1983927	1984028	1983977	4.08225	129.42551
chr17	74872898	74872999	74872948	4.08225	129.13546
chr8	123274834	123274935	123274884	4.08225	129.09627
chr9	124771335	124771436	124771385	4.08225	128.95313
chr2	26764291	26764392	26764341	4.08225	128.84743
chr2	218659703	218659804	218659753	4.08225	128.80243
chr16	84014369	84014470	84014419	4.08225	128.77243
chr10	133308902	133309003	133308952	4.08225	128.67697
chr17	68200895	68200996	68200945	4.08225	128.55346
chr19	15125504	15125605	15125554	4.08225	128.35743
chr2	112542441	112542542	112542491	4.08225	128.33106
chr11	126062907	126063008	126062957	4.08225	128.1003
chr7	149262108	149262209	149262158	4.08225	128.06881
chr6	31403630	31403731	31403680	4.08225	128.00622
chr14	49768007	49768108	49768057	4.08225	127.98596
chr17	39864169	39864270	39864219	4.08225	127.75067
chr20	46406323	46406424	46406373	4.08225	127.70579
chr7	91940737	91940838	91940787	4.08225	127.55694
chr19	51362861	51362962	51362911	4.08225	127.29456
chr12	103965782	103965883	103965832	4.08225	127.1138
chr2	54115686	54115787	54115736	4.08225	127.09381
chr6	52362043	52362144	52362093	4.08225	127.08188
chr10	84328584	84328685	84328634	4.08225	127.07021
chr2	218398042	218398143	218398092	4.08225	127.02999
chr16	89923264	89923365	89923314	4.08225	127.02734
chr7	100444557	100444658	100444607	4.08225	126.99405
chr18	70205712	70205813	70205762	4.08225	126.70808
chr9	37079813	37079914	37079863	4.08225	126.37573
chr2	120013270	120013371	120013320	4.08225	126.32189
chr6	157021593	157021694	157021643	4.08225	126.04148
chr9	136944658	136944759	136944708	4.08225	126.01278
chr15	101652185	101652286	101652235	4.08225	125.86488
chr20	43507571	43507672	43507621	4.08225	125.71849
chr19	1249364	1249465	1249414	4.08225	125.71627
chr2	61694677	61694778	61694727	4.08225	125.64193
chr5	98929218	98929319	98929268	4.08225	125.62283
chr4	1802444	1802545	1802494	4.08225	125.61171
chr21	39313689	39313790	39313739	4.08225	125.58624
chr1	92832033	92832134	92832083	4.08225	125.53811
chr14	73760269	73760370	73760319	4.08225	125.4966
chr1	44800156	44800257	44800206	4.08225	125.39902
chr17	68383536	68383637	68383586	4.08225	125.30543
chr16	21953295	21953396	21953345	4.08225	125.23585
chr2	241734621	241734722	241734671	4.08225	125.23545
chr2	190534545	190534646	190534595	4.08225	125.15962
chr17	42276598	42276699	42276648	4.08225	125.12944
chr3	123067013	123067114	123067063	4.08225	124.9376
chr17	68456934	68457035	68456984	4.08225	124.92824
chr6	53061727	53061828	53061777	4.08225	124.71799
chr14	39114365	39114466	39114415	4.08225	124.56267
chr16	87951316	87951417	87951366	4.08225	124.26544
chr17	4731553	4731654	4731603	4.08225	124.12876
chr22	23894300	23894401	23894350	4.08225	124.11275
chr2	19348286	19348387	19348336	4.08225	124.08342
chr1	19882427	19882528	19882477	4.08225	124.05599
chr17	82098610	82098711	82098660	4.08225	124.02204
chr3	33798598	33798699	33798648	4.08225	123.75599
chr1	19485835	19485936	19485885	4.08225	123.70322
chr15	74938073	74938174	74938123	4.08225	123.5096
chr2	238239949	238240050	238239999	4.08225	123.36426
chr2	96556911	96557012	96556961	4.08225	123.32579
chr20	1118705	1118806	1118755	4.08225	123.21977
chr10	15097269	15097370	15097319	4.08225	123.12774
chr12	2004314	2004415	2004364	4.08225	122.81323
chr11	65720583	65720684	65720633	4.08225	122.7084
chr3	50260102	50260203	50260152	4.08225	122.67112
chr6	30214357	30214458	30214407	4.08225	122.62987
chr1	165630855	165630956	165630905	4.08225	122.61944
chr6	113971248	113971349	113971298	4.08225	122.52526
chr21	41954145	41954246	41954195	4.08225	122.52008
chr20	62667006	62667107	62667056	4.08225	122.46991
chr20	18497176	18497277	18497226	4.08225	122.45591
chr4	102869015	102869116	102869065	4.08225	122.39324
chr9	36190945	36191046	36190995	4.08225	122.20381
chr16	75433213	75433314	75433263	4.08225	121.74147
chr10	102450467	102450568	102450517	4.08225	121.70312
chr21	33324783	33324884	33324833	4.08225	121.65337
chr3	49940156	49940257	49940206	4.08225	121.58471
chr6	26285519	26285620	26285569	4.08225	121.51872
chr2	131492860	131492961	131492910	4.08225	121.50372
chr19	50330794	50330895	50330844	4.08225	121.49543
chr7	12211349	12211450	12211399	4.08225	121.30555
chr20	50189203	50189304	50189253	4.08225	121.24512
chr14	94599309	94599410	94599359	4.08225	121.23925
chr8	144501103	144501204	144501153	4.08225	121.20973
chr3	23945922	23946023	23945972	4.08225	121.20215
chr9	35604196	35604297	35604246	4.08225	121.19799
chr17	58692597	58692698	58692647	4.08225	121.17939
chr16	5098541	5098642	5098591	4.08225	120.88317
chr15	40564932	40565033	40564982	4.08225	120.80361
chr15	44663441	44663542	44663491	4.08225	120.78053
chr22	24593029	24593130	24593079	4.08225	120.77622
chr7	28955981	28956082	28956031	4.08225	120.73476
chr17	28902956	28903057	28903006	4.08225	120.72583
chr16	19067834	19067935	19067884	4.08225	120.50649
chr3	23946166	23946267	23946216	4.08225	119.93812
chr11	9364369	9364470	9364419	4.08225	119.92614
chr7	26201031	26201132	26201081	4.08225	119.90924
chr2	41841071	41841172	41841121	4.08225	119.86502
chr6	33208520	33208621	33208570	4.08225	119.81108
chr17	82317689	82317790	82317739	4.08225	119.78982
chr12	123233232	123233333	123233282	4.08225	119.78916
chr5	173328355	173328456	173328405	4.08225	119.76618
chr17	68462974	68463075	68463024	4.08225	119.63358
chr11	2700192	2700293	2700242	4.08225	119.61689
chr3	48663893	48663994	48663943	4.08225	119.60273
chr17	7329403	7329504	7329453	4.08225	119.49472
chr19	36838130	36838231	36838180	4.08225	119.48104
chr17	76003431	76003532	76003481	4.08225	119.43811
chr16	87869414	87869515	87869464	4.08225	119.43304
chr16	67660420	67660521	67660470	4.08225	119.34389
chr17	39739462	39739563	39739512	4.08225	119.28595
chr9	15511006	15511107	15511056	4.08225	119.19126
chr16	1984127	1984228	1984177	4.08225	119.17085
chr16	2882856	2882957	2882906	4.08225	119.13304
chr17	81035106	81035207	81035156	4.08225	119.04655
chr17	30292068	30292169	30292118	4.08225	119.03393
chr16	4624640	4624741	4624690	4.08225	118.96754
chr9	136363366	136363467	136363416	4.08225	118.96496
chr1	230714458	230714559	230714508	4.08225	118.94795
chr8	28411950	28412051	28412000	4.08225	118.91434
chr4	3784999	3785100	3785049	4.08225	118.90058
chr20	64255755	64255856	64255805	4.08225	118.87595
chr13	41194427	41194528	41194477	4.08225	118.83497
chr5	157731565	157731666	157731615	4.08225	118.71165
chr12	55928014	55928115	55928064	4.08225	118.52242
chr10	119104191	119104292	119104241	4.08225	118.48507
chr2	241558787	241558888	241558837	4.08225	118.30413
chr19	50148196	50148297	50148246	4.08225	118.12068
chr16	88509050	88509151	88509100	4.08225	118.04458
chr19	5804042	5804143	5804092	4.08225	117.85025
chr17	1516840	1516941	1516890	4.08225	117.81079
chr1	59296756	59296857	59296806	4.08225	117.75986
chr9	137086648	137086749	137086698	4.08225	117.7491
chr7	21427559	21427660	21427609	4.08225	117.71908
chr20	50440665	50440766	50440715	4.08225	117.60786
chr19	6476628	6476729	6476678	4.08225	117.48458
chr19	49149366	49149467	49149416	4.08225	117.24406
chr10	119178613	119178714	119178663	4.08225	117.12494
chr2	113756520	113756621	113756570	4.08225	117.10471
chr9	133459596	133459697	133459646	4.08225	117.03845
chr21	43719266	43719367	43719316	4.08225	117.0178
chr1	112956288	112956389	112956338	4.08225	116.8902
chr16	56932115	56932216	56932165	4.08225	116.78248
chr2	27086782	27086883	27086832	4.08225	116.69081
chr14	37172245	37172346	37172295	4.08225	116.49409
chr2	55232765	55232866	55232815	4.08225	116.48059
chr9	137441560	137441661	137441610	4.08225	116.47954
chr10	102642317	102642418	102642367	4.08225	116.33574
chr14	51989540	51989641	51989590	4.08225	116.30249
chr9	127224503	127224604	127224553	4.08225	116.21492
chr1	43707597	43707698	43707647	4.08225	116.12024
chr16	30096173	30096274	30096223	4.08225	116.10606
chr12	56104358	56104459	56104408	4.08225	116.09002
chr4	174283616	174283717	174283666	4.08225	116.05001
chr6	138773548	138773649	138773598	4.08225	116.04018
chr4	3831235	3831336	3831285	4.08225	116.00728
chr19	5790854	5790955	5790904	4.08225	115.96771
chr16	4624893	4624994	4624943	4.08225	115.92321
chr11	93784317	93784418	93784367	4.08225	115.83292
chr2	46409119	46409220	46409169	4.08225	115.83141
chr10	74176669	74176770	74176719	4.08225	115.81335
chr4	9152649	9152750	9152699	4.08225	115.77616
chr22	37569523	37569624	37569573	4.08225	115.70117
chr20	33009567	33009668	33009617	4.08225	115.55631
chr2	32356835	32356936	32356885	4.08225	115.37333
chr11	65418812	65418913	65418862	4.08225	115.31258
chr8	144508844	144508945	144508894	4.08225	115.24325
chr10	21533921	21534022	21533971	4.08225	115.24054
chr12	49623279	49623380	49623329	4.08225	115.19433
chr17	63741666	63741767	63741716	4.08225	115.17698
chr1	156601401	156601502	156601451	4.08225	115.16128
chr14	23286362	23286463	23286412	4.08225	115.12791
chr19	58572866	58572967	58572916	4.08225	115.09097
chr3	191329334	191329435	191329384	4.08225	115.08433
chr17	82104125	82104226	82104175	4.08225	114.86188
chr3	170870088	170870189	170870138	4.08225	114.79501
chr12	48852056	48852157	48852106	4.08225	114.78889
chr6	30066975	30067076	30067025	4.08225	114.69368
chr8	95269296	95269397	95269346	4.08225	114.56906
chr2	197516108	197516209	197516158	4.08225	114.41058
chr6	143511364	143511465	143511414	4.08225	114.38141
chr4	2801077	2801178	2801127	4.08225	114.35903
chr2	43595864	43595965	43595914	4.08225	114.29827
chr15	74615872	74615973	74615922	4.08225	114.21772
chr2	210002775	210002876	210002825	4.08225	114.20173
chr16	57280073	57280174	57280123	4.08225	114.13312
chr2	241701657	241701758	241701707	4.08225	114.1125
chr11	121459653	121459754	121459703	4.08225	114.0502
chr20	35327375	35327476	35327425	4.08225	114.022
chr18	74292224	74292325	74292274	4.08225	113.95199
chr13	30408578	30408679	30408628	4.08225	113.93587
chr19	36054715	36054816	36054765	4.08225	113.9197
chr3	48446847	48446948	48446897	4.08225	113.89849
chr22	19731038	19731139	19731088	4.08225	113.87946
chr2	47272501	47272602	47272551	4.08225	113.80224
chr17	81713873	81713974	81713923	4.08225	113.65091
chr2	85595461	85595562	85595511	4.08225	113.64008
chr14	37596318	37596419	37596368	4.08225	113.61649
chr9	5833008	5833109	5833058	4.08225	113.6033
chr2	231681427	231681528	231681477	4.08225	113.39025
chr16	85515111	85515212	85515161	4.08225	113.36775
chr4	86934998	86935099	86935048	4.08225	113.16738
chr1	113904985	113905086	113905035	4.08225	113.12117
chr17	47189140	47189241	47189190	4.08225	112.92905
chr12	30754858	30754959	30754908	4.08225	112.85973
chr1	113905191	113905292	113905241	4.08225	112.75566
chr17	81926451	81926552	81926501	4.08225	112.62082
chr8	30727859	30727960	30727909	4.08225	112.58713
chr1	161021007	161021108	161021057	4.08225	112.50455
chr3	52198018	52198119	52198068	4.08225	112.49916
chr9	135994394	135994495	135994444	4.08225	112.43189
chr14	105301172	105301273	105301222	4.08225	112.40348
chr11	64317425	64317526	64317475	4.08225	112.38961
chr16	56607201	56607302	56607251	4.08225	112.31987
chr10	96043582	96043683	96043632	4.08225	112.31001
chr15	58933525	58933626	58933575	4.08225	112.2814
chr6	43806464	43806565	43806514	4.08225	112.25229
chrX	1392386	1392487	1392436	4.08225	112.24994
chr17	40648021	40648122	40648071	4.08225	112.22841
chr15	64381387	64381488	64381437	4.08225	112.18344
chr19	45467717	45467818	45467767	4.08225	112.13285
chr10	96043370	96043471	96043420	4.08225	112.01118
chr5	38845887	38845988	38845937	4.08225	111.95994
chr20	25585423	25585524	25585473	4.08225	111.94144
chr7	45888543	45888644	45888593	4.08225	111.92967
chr4	56435969	56436070	56436019	4.08225	111.92706
chr2	10302816	10302917	10302866	4.08225	111.91355
chr6	10723117	10723218	10723167	4.08225	111.89837
chr1	8212007	8212108	8212057	4.08225	111.89528
chr19	14496433	14496534	14496483	4.08225	111.88609
chr16	70428385	70428486	70428435	4.08225	111.8297
chr5	55934284	55934385	55934334	4.08225	111.79546
chr17	75035036	75035137	75035086	4.08225	111.72984
chr17	58381263	58381364	58381313	4.08225	111.70263
chr17	76027339	76027440	76027389	4.08225	111.69346
chr2	48315232	48315333	48315282	4.08225	111.61118
chr2	20180078	20180179	20180128	4.08225	111.53336
chr18	11980816	11980917	11980866	4.08225	111.5207
chr13	32031321	32031422	32031371	4.08225	111.48167
chr19	18001251	18001352	18001301	4.08225	111.38609
chr13	21603961	21604062	21604011	4.08225	111.31531
chr12	106774331	106774432	106774381	4.08225	111.22344
chr17	59106727	59106828	59106777	4.08225	111.22146
chr6	8064129	8064230	8064179	4.08225	111.20824
chr12	130871898	130871999	130871948	4.08225	111.20805
chr11	1219993	1220094	1220043	4.08225	111.05019
chr15	99104899	99105000	99104949	4.08225	110.93861
chr10	109923510	109923611	109923560	4.08225	110.90887
chr10	32056254	32056355	32056304	4.08225	110.83636
chr1	56508605	56508706	56508655	4.08225	110.75124
chr2	42978512	42978613	42978562	4.08225	110.65334
chr4	170026452	170026553	170026502	4.08225	110.63287
chr16	77722518	77722619	77722568	4.08225	110.60874
chr11	18634556	18634657	18634606	4.08225	110.60629
chr7	143836660	143836761	143836710	4.08225	110.48536
chr5	132556878	132556979	132556928	4.08225	110.42392
chr20	54067798	54067899	54067848	4.08225	110.32861
chr1	197902706	197902807	197902756	4.08225	110.32438
chr20	45934809	45934910	45934859	4.08225	110.24911
chr16	23453034	23453135	23453084	4.08225	110.21979
chr1	31715539	31715640	31715589	4.08225	110.15676
chr1	40257958	40258059	40258008	4.08225	110.06201
chr3	14124632	14124733	14124682	4.08225	110.05954
chr20	50645469	50645570	50645519	4.08225	110.0267
chr20	43558853	43558954	43558903	4.08225	110.015
chr1	212608684	212608785	212608734	4.08225	110.00947
chr2	241637701	241637802	241637751	4.08225	109.98527
chr12	583413	583514	583463	4.08225	109.97172
chr20	50153565	50153666	50153615	4.08225	109.96643
chr10	60778411	60778512	60778461	4.08225	109.84046
chr20	3768021	3768122	3768071	4.08225	109.76784
chr4	24584697	24584798	24584747	4.08225	109.7051
chr5	180071846	180071947	180071896	4.08225	109.69881
chr17	61927719	61927820	61927769	4.08225	109.68152
chr4	67701016	67701117	67701066	4.08225	109.67195
chr16	69132415	69132516	69132465	4.08225	109.64371
chr22	31055768	31055869	31055818	4.08225	109.58237
chr15	60479189	60479290	60479239	4.08225	109.51928
chr3	51942152	51942253	51942202	4.08225	109.42714
chr3	150546552	150546653	150546602	4.08225	109.42299
chr14	37602923	37603024	37602973	4.08225	109.39961
chr16	679335	679436	679385	4.08225	109.30948
chr7	4642033	4642134	4642083	4.08225	109.29494
chr19	1021324	1021425	1021374	4.08225	109.28006
chr1	2412737	2412838	2412787	4.08225	109.25209
chr2	131672806	131672907	131672856	4.08225	109.18376
chr15	45023175	45023276	45023225	4.08225	109.16608
chr1	26914227	26914328	26914277	4.08225	109.11638
chr20	25751221	25751322	25751271	4.08225	108.92199
chr1	32351536	32351637	32351586	4.08225	108.91806
chr5	78360433	78360534	78360483	4.08225	108.91575
chr15	56887392	56887493	56887442	4.08225	108.8645
chr2	218444793	218444894	218444843	4.08225	108.82996
chr20	46364249	46364350	46364299	4.08225	108.82683
chr12	53380122	53380223	53380172	4.08225	108.80935
chr2	3558552	3558653	3558602	4.08225	108.79539
chr20	21303447	21303548	21303497	4.08225	108.77949
chr17	68020179	68020280	68020229	4.08225	108.73463
chr18	48902236	48902337	48902286	4.08225	108.70119
chr11	18526620	18526721	18526670	4.08225	108.62594
chr20	37095808	37095909	37095858	4.08225	108.58207
chr20	33443684	33443785	33443734	4.08225	108.58057
chrX	23743201	23743302	23743251	4.08225	108.54182
chr6	75601955	75602056	75602005	4.08225	108.51426
chr10	14959603	14959704	14959653	4.08225	108.42145
chr19	55605399	55605500	55605449	4.08225	108.37095
chr8	119873639	119873740	119873689	4.08225	108.34076
chr11	16738479	16738580	16738529	4.08225	108.20231
chr2	85469153	85469254	85469203	4.08225	108.17044
chr14	31207841	31207942	31207891	4.08225	108.11966
chr2	208254203	208254304	208254253	4.08225	108.11451
chr11	65663029	65663130	65663079	4.08225	108.07661
chr16	31700773	31700874	31700823	4.08225	108.04406
chr9	128115294	128115395	128115344	4.08225	108.04204
chr11	67630424	67630525	67630474	4.08225	108.01364
chr8	60516869	60516970	60516919	4.08225	107.90579
chr16	30997228	30997329	30997278	4.08225	107.81767
chr12	122984807	122984908	122984857	4.08225	107.77388
chr16	69424696	69424797	69424746	4.08225	107.73173
chr17	4940043	4940144	4940093	4.08225	107.66806
chr17	76138818	76138919	76138868	4.08225	107.59016
chr8	41578092	41578193	41578142	4.08225	107.54094
chr15	30991592	30991693	30991642	4.08225	107.50366
chr2	20593470	20593571	20593520	4.08225	107.4293
chr14	34693417	34693518	34693467	4.08225	107.41809
chr17	46772058	46772159	46772108	4.08225	107.41265
chr6	111259170	111259271	111259220	4.08225	107.37503
chr4	6909616	6909717	6909666	4.08225	107.27245
